site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Hamburg  116  1  2  20  Valued  pre  1-day  4.341148e+00  1.387919e-01  4  175  5  10
Hamburg  116  1  3  1  Valued  post  1-day  4.220024e+00  3.264213e-01  0  85  4  2
Hamburg  116  1  3  2  Rest  post  1-day  0  0  0  0  NaN  2
Hamburg  116  1  3  3  Valued  post  1-day  4.793389e+00  9.094659e-02  0  96  4  2
Hamburg  116  1  3  4  Devalued  post  1-day  9.506326e-01  6.378447e-01  0  21  -5  2
Hamburg  116  1  3  5  Rest  post  1-day  0  0  0  0  NaN  2
Hamburg  116  1  3  6  Devalued  post  1-day  4.977900e-02  0  0  1  -5  2
Hamburg  116  1  3  7  Rest  post  1-day  0  0  0  0  NaN  2
Hamburg  116  1  3  8  Valued  post  1-day  3.540432e+00  2.835829e-01  0  71  4  2
Hamburg  116  1  3  9  Devalued  post  1-day  6.979277e-01  1.549936e+00  0  16  -5  2
Hamburg  117  1  1  1  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  2  Valued  pre  3-day  4.393829e+00  1.456979e-01  2  88  2  10
Hamburg  117  1  1  3  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  4  Devalued  pre  3-day  4.317978e+00  1.234124e-01  3  173  1  10
Hamburg  117  1  1  5  Valued  pre  3-day  4.232412e+00  1.328143e-01  4  169  2  10
Hamburg  117  1  1  6  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  7  Devalued  pre  3-day  4.347384e+00  1.452741e-01  2  87  1  10
Hamburg  117  1  1  8  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  9  Devalued  pre  3-day  4.558322e+00  1.094619e-01  1  92  1  10
Hamburg  117  1  1  10  Valued  pre  3-day  4.135029e+00  1.377007e-01  2  82  2  10
Hamburg  117  1  1  11  Devalued  pre  3-day  4.218405e+00  1.167820e-01  1  85  1  10
Hamburg  117  1  1  12  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  13  Valued  pre  3-day  4.547281e+00  1.516853e-01  2  91  2  10
Hamburg  117  1  1  14  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  15  Devalued  pre  3-day  3.960005e+00  1.400626e-01  4  159  1  10
Hamburg  117  1  1  16  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  17  Devalued  pre  3-day  4.145153e+00  1.420456e-01  2  83  1  10
Hamburg  117  1  1  18  Valued  pre  3-day  3.379108e+00  2.405557e-01  5  68  2  10
Hamburg  117  1  1  19  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  1  20  Valued  pre  3-day  3.945122e+00  1.423353e-01  4  159  2  10
Hamburg  117  1  2  1  Valued  pre  3-day  4.845854e+00  1.536799e-01  3  194  2  10
Hamburg  117  1  2  2  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  3  Valued  pre  3-day  4.915054e+00  9.449357e-02  2  197  2  10
Hamburg  117  1  2  4  Devalued  pre  3-day  4.800435e+00  5.238379e-02  0  96  1  10
Hamburg  117  1  2  5  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  6  Devalued  pre  3-day  4.529842e+00  1.394969e-01  2  91  1  10
Hamburg  117  1  2  7  Valued  pre  3-day  4.842088e+00  9.662776e-02  1  97  2  10
Hamburg  117  1  2  8  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  9  Valued  pre  3-day  4.655955e+00  1.346208e-01  2  94  2  10
Hamburg  117  1  2  10  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  11  Devalued  pre  3-day  4.394889e+00  1.178566e-01  3  176  1  10
Hamburg  117  1  2  12  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  13  Valued  pre  3-day  4.664099e+00  1.139288e-01  1  94  2  10
Hamburg  117  1  2  14  Devalued  pre  3-day  4.232569e+00  1.391921e-01  2  84  1  10
Hamburg  117  1  2  15  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  16  Devalued  pre  3-day  4.242977e+00  1.390672e-01  2  86  1  10
Hamburg  117  1  2  17  Valued  pre  3-day  4.032829e+00  1.096608e-01  1  80  2  10
Hamburg  117  1  2  18  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  2  19  Devalued  pre  3-day  4.222613e+00  1.065266e-01  1  169  1  10
Hamburg  117  1  2  20  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  1  Devalued  pre  3-day  4.154514e+00  1.974575e-01  4  84  1  10
Hamburg  117  1  3  2  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  3  Devalued  pre  3-day  4.470300e+00  6.062996e-02  0  90  1  10
Hamburg  117  1  3  4  Valued  pre  3-day  4.640389e+00  1.119731e-01  3  185  2  10
Hamburg  117  1  3  5  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  6  Valued  pre  3-day  4.719675e+00  1.590886e-01  3  95  2  10
Hamburg  117  1  3  7  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  8  Devalued  pre  3-day  4.652002e+00  1.611953e-01  3  93  1  10
Hamburg  117  1  3  9  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  10  Devalued  pre  3-day  4.202099e+00  1.798991e-01  7  168  1  10
Hamburg  117  1  3  11  Valued  pre  3-day  4.874539e+00  3.518195e-02  0  98  2  10
Hamburg  117  1  3  12  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  13  Valued  pre  3-day  4.648184e+00  1.058792e-01  1  93  2  10
Hamburg  117  1  3  14  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  15  Valued  pre  3-day  4.698845e+00  1.332571e-01  4  188  2  10
Hamburg  117  1  3  16  Devalued  pre  3-day  4.676117e+00  1.418535e-01  2  94  1  10
Hamburg  117  1  3  17  Valued  pre  3-day  5.158725e+00  3.490307e-02  0  103  2  10
Hamburg  117  1  3  18  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  3  19  Devalued  pre  3-day  4.645194e+00  1.266710e-01  3  186  1  10
Hamburg  117  1  3  20  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  1  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  2  Devalued  pre  3-day  5.008852e+00  7.688475e-02  1  201  1  10
Hamburg  117  1  4  3  Valued  pre  3-day  5.013236e+00  1.080740e-01  3  200  2  10
Hamburg  117  1  4  4  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  5  Devalued  pre  3-day  4.978160e+00  1.314687e-01  2  101  1  10
Hamburg  117  1  4  6  Rest  pre  3-day  0  0  0  0  NaN  10
Hamburg  117  1  4  7  Valued  pre  3-day  4.917793e+00  8.809040e-02  1  99  2  10
