site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech1  55  1  2  1  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  2  Devalued  pre  1-day  1.198067e+00  5.811834e-01  4  48  4  9
Caltech1  55  1  2  3  Valued  pre  1-day  1.404981e+00  3.473412e-01  1  28  3  9
Caltech1  55  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  5  Devalued  pre  1-day  9.486643e-01  1.387808e+00  0  19  4  9
Caltech1  55  1  2  6  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  7  Devalued  pre  1-day  1.245520e+00  5.329067e-01  1  25  4  9
Caltech1  55  1  2  8  Valued  pre  1-day  8.032458e-01  2.059476e+00  1  16  3  9
Caltech1  55  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  10  Valued  pre  1-day  6.985568e-01  9.396349e-01  2  28  3  9
Caltech1  55  1  2  11  Devalued  pre  1-day  1.251179e+00  6.374114e-01  3  50  4  9
Caltech1  55  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  13  Valued  pre  1-day  1.641997e+00  2.536041e-01  2  33  3  9
Caltech1  55  1  2  14  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  15  Devalued  pre  1-day  1.698495e+00  2.775208e-01  4  35  4  9
Caltech1  55  1  2  16  Valued  pre  1-day  9.805106e-01  8.806980e-01  2  19  3  9
Caltech1  55  1  2  17  Devalued  pre  1-day  8.970935e-01  1.021522e+00  0  18  4  9
Caltech1  55  1  2  18  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  2  19  Valued  pre  1-day  1.240587e+00  1.383100e+00  5  50  3  9
Caltech1  55  1  2  20  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  3  1  Valued  post  1-day  9.475461e-01  5.615095e-01  0  19  -3  5
Caltech1  55  1  3  2  Rest  post  1-day  0  0  0  0  NaN  5
Caltech1  55  1  3  3  Valued  post  1-day  5.005734e-01  2.008104e+00  0  10  -3  5
Caltech1  55  1  3  4  Devalued  post  1-day  9.984674e-01  5.718608e-01  0  20  1  5
Caltech1  55  1  3  5  Rest  post  1-day  0  0  0  0  NaN  5
Caltech1  55  1  3  6  Devalued  post  1-day  1.842583e+00  1.669752e-01  0  37  1  5
Caltech1  55  1  3  7  Valued  post  1-day  6.522608e-01  1.192415e+00  0  14  -3  5
Caltech1  55  1  3  8  Rest  post  1-day  0  0  0  0  NaN  5
Caltech1  55  1  3  9  Devalued  post  1-day  1.543649e+00  2.477069e-01  0  31  1  5
Caltech1  56  1  1  1  Devalued  pre  1-day  3.917261e+00  1.164473e-01  0  76  5  9
Caltech1  56  1  1  2  Valued  pre  1-day  4.147088e+00  1.516899e-01  2  83  4  9
Caltech1  56  1  1  3  Devalued  pre  1-day  4.886037e+00  8.339533e-02  0  98  5  9
Caltech1  56  1  1  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  5  Valued  pre  1-day  5.372185e+00  8.124244e-02  1  216  4  9
Caltech1  56  1  1  6  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  7  Devalued  pre  1-day  4.442520e+00  1.574989e-01  1  89  5  9
Caltech1  56  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  9  Valued  pre  1-day  4.145575e+00  1.667789e-01  2  83  4  9
Caltech1  56  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  11  Devalued  pre  1-day  4.838092e+00  1.347328e-01  3  195  5  9
Caltech1  56  1  1  12  Valued  pre  1-day  4.885832e+00  1.273264e-01  1  97  4  9
Caltech1  56  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  14  Devalued  pre  1-day  4.697365e+00  1.383867e-01  1  94  5  9
Caltech1  56  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  16  Valued  pre  1-day  5.083116e+00  1.239317e-01  3  204  4  9
Caltech1  56  1  1  17  Devalued  pre  1-day  4.110020e+00  1.855046e-01  6  164  5  9
Caltech1  56  1  1  18  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  1  19  Valued  pre  1-day  5.352299e+00  1.180995e-01  1  107  4  9
Caltech1  56  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  1  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  56  1  2  2  Valued  pre  1-day  5.154650e+00  1.178047e-01  1  103  4  9
Caltech1  56  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  9
